"","(Intercept)","living_area","year_sold","mod$coefficients[4:n]","neighborhood","neighborhood_num"
"1",141374.972516129,71.4716580373283,13766.2930038246,-21000.4057527176,"neighborhood0001","0001"
"2",141374.972516129,71.4716580373283,13766.2930038246,90547.3048467449,"neighborhood0006","0006"
"3",141374.972516129,71.4716580373283,13766.2930038246,172690.109764364,"neighborhood0010","0010"
"4",141374.972516129,71.4716580373283,13766.2930038246,-92305.514736044,"neighborhood0025","0025"
"5",141374.972516129,71.4716580373283,13766.2930038246,28169.2881536742,"neighborhood0026","0026"
"6",141374.972516129,71.4716580373283,13766.2930038246,47206.8044870978,"neighborhood0046","0046"
"7",141374.972516129,71.4716580373283,13766.2930038246,14139.4381596958,"neighborhood0057","0057"
"8",141374.972516129,71.4716580373283,13766.2930038246,271003.422761741,"neighborhood0060","0060"
"9",141374.972516129,71.4716580373283,13766.2930038246,155767.976272913,"neighborhood0061","0061"
"10",141374.972516129,71.4716580373283,13766.2930038246,93363.5045341704,"neighborhood0066","0066"
"11",141374.972516129,71.4716580373283,13766.2930038246,-80042.3908067679,"neighborhood0073","0073"
"12",141374.972516129,71.4716580373283,13766.2930038246,422210.252455503,"neighborhood0080","0080"
"13",141374.972516129,71.4716580373283,13766.2930038246,-34842.7760967777,"neighborhood0097","0097"
"14",141374.972516129,71.4716580373283,13766.2930038246,19350.9160310393,"neighborhood0100","0100"
"15",141374.972516129,71.4716580373283,13766.2930038246,135294.48156774,"neighborhood0105","0105"
"16",141374.972516129,71.4716580373283,13766.2930038246,510228.706339916,"neighborhood0119","0119"
"17",141374.972516129,71.4716580373283,13766.2930038246,-26484.2489420269,"neighborhood0121","0121"
"18",141374.972516129,71.4716580373283,13766.2930038246,40909.8292552192,"neighborhood0131","0131"
"19",141374.972516129,71.4716580373283,13766.2930038246,225944.652655426,"neighborhood0135","0135"
"20",141374.972516129,71.4716580373283,13766.2930038246,-24316.7416572682,"neighborhood0139","0139"
